Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,119.760000,-82.580000,180.000000,top
C2,0.1uF,C_0805_2012Metric,187.940000,-63.990000,90.000000,top
C3,0.1uF,C_0805_2012Metric,95.960000,-52.490000,180.000000,top
C4,0.1uF,C_0805_2012Metric,113.310000,-52.590000,180.000000,top
C5,0.1uF,C_0805_2012Metric,130.090000,-52.550000,180.000000,top
C6,0.1uF,C_0805_2012Metric,155.480000,-74.190000,180.000000,top
C7,0.1uF,C_0805_2012Metric,172.200000,-74.200000,180.000000,top
C8,0.1uF,C_0805_2012Metric,102.310000,-127.810000,90.000000,top
C9,0.1uF,C_0805_2012Metric,123.770000,-100.330000,180.000000,top
C17,0.1uF,C_0805_2012Metric,222.260000,-82.850000,90.000000,top
D1,V1 LED,LED_0603_1608Metric,76.630000,-48.730000,270.000000,top
D2,V2 LED,LED_0603_1608Metric,93.758000,-135.770000,270.000000,top
D3,V3 LED,LED_0603_1608Metric,174.970000,-135.865000,90.000000,top
D4,5V LED,LED_0603_1608Metric,177.020000,-35.020000,90.000000,top
D9,0603,LED_0603_1608Metric,76.210000,-68.380000,270.000000,top
D10,0603,LED_0603_1608Metric,76.210000,-75.740714,270.000000,top
D11,0603,LED_0603_1608Metric,76.210000,-83.101428,270.000000,top
D12,0603,LED_0603_1608Metric,76.210000,-90.462142,270.000000,top
D13,0603,LED_0603_1608Metric,76.210000,-97.822856,270.000000,top
D14,0603,LED_0603_1608Metric,76.210000,-105.183570,270.000000,top
D15,0603,LED_0603_1608Metric,76.210000,-112.544284,270.000000,top
D16,0603,LED_0603_1608Metric,76.210000,-119.905000,270.000000,top
D17,0603,LED_0603_1608Metric,116.424800,-135.680000,0.000000,top
D18,0603,LED_0603_1608Metric,123.785514,-135.680000,0.000000,top
D19,0603,LED_0603_1608Metric,131.146228,-135.680000,0.000000,top
D20,0603,LED_0603_1608Metric,138.506942,-135.680000,0.000000,top
D21,0603,LED_0603_1608Metric,145.867656,-135.680000,0.000000,top
D22,0603,LED_0603_1608Metric,153.228370,-135.680000,0.000000,top
D23,0603,LED_0603_1608Metric,160.589084,-135.680000,0.000000,top
D24,0603,LED_0603_1608Metric,167.949800,-135.680000,0.000000,top
D25,0603,LED_0603_1608Metric,195.184800,-135.800000,0.000000,top
D26,0603,LED_0603_1608Metric,202.545514,-135.800000,0.000000,top
D27,0603,LED_0603_1608Metric,209.906228,-135.800000,0.000000,top
D28,0603,LED_0603_1608Metric,217.266942,-135.800000,0.000000,top
D29,0603,LED_0603_1608Metric,224.627656,-135.800000,0.000000,top
D30,0603,LED_0603_1608Metric,231.988370,-135.800000,0.000000,top
D31,0603,LED_0603_1608Metric,239.349084,-135.800000,0.000000,top
D32,0603,LED_0603_1608Metric,246.709800,-135.800000,0.000000,top
R1,33,R_0805_2012Metric,110.550000,-82.520000,0.000000,top
R2,33,R_0805_2012Metric,110.550000,-80.227142,0.000000,top
R3,33,R_0805_2012Metric,110.550000,-77.934285,0.000000,top
R4,33,R_0805_2012Metric,110.550000,-75.641428,0.000000,top
R5,33,R_0805_2012Metric,110.550000,-73.348571,0.000000,top
R6,33,R_0805_2012Metric,110.550000,-71.055714,0.000000,top
R7,33,R_0805_2012Metric,110.550000,-68.762857,0.000000,top
R8,33,R_0805_2012Metric,110.550000,-66.470000,0.000000,top
R9,33,R_0805_2012Metric,168.590000,-113.135000,90.000000,top
R10,33,R_0805_2012Metric,156.260000,-105.180000,180.000000,top
R11,33,R_0805_2012Metric,152.890000,-113.135000,90.000000,top
R12,33,R_0805_2012Metric,140.648332,-105.180000,180.000000,top
R13,33,R_0805_2012Metric,137.300000,-113.135000,90.000000,top
R14,33,R_0805_2012Metric,125.076666,-105.180000,180.000000,top
R15,33,R_0805_2012Metric,121.780000,-113.135000,90.000000,top
R16,33,R_0805_2012Metric,110.460000,-105.180000,180.000000,top
R17,33,R_0805_2012Metric,214.700000,-101.680000,90.000000,top
R18,33,R_0805_2012Metric,217.005714,-101.680000,90.000000,top
R19,33,R_0805_2012Metric,219.311428,-101.680000,90.000000,top
R20,33,R_0805_2012Metric,221.617142,-101.680000,90.000000,top
R21,33,R_0805_2012Metric,223.922856,-101.680000,90.000000,top
R22,33,R_0805_2012Metric,226.228570,-101.680000,90.000000,top
R23,33,R_0805_2012Metric,228.534285,-101.610000,90.000000,top
R24,33,R_0805_2012Metric,230.840000,-101.680000,90.000000,top
R25,4.7k,R_0805_2012Metric,76.630000,-44.360000,90.000000,top
R26,4.7k,R_0805_2012Metric,96.806000,-135.770000,270.000000,top
R27,4.7k,R_0805_2012Metric,175.070000,-132.540000,270.000000,top
R28,4.7k,R_0805_2012Metric,174.960000,-35.220000,90.000000,top
R29,4.7k,R_0805_2012Metric,191.120000,-70.700000,180.000000,top
R30,120,R_0805_2012Metric,146.381666,-70.390000,180.000000,top
R31,120,R_0805_2012Metric,150.723332,-70.390000,180.000000,top
R32,120,R_0805_2012Metric,164.801666,-70.390000,180.000000,top
R33,120,R_0805_2012Metric,169.143332,-70.390000,180.000000,top
R34,120,R_0805_2012Metric,88.561666,-48.585000,180.000000,top
R35,120,R_0805_2012Metric,92.903332,-48.585000,180.000000,top
R36,120,R_0805_2012Metric,155.065000,-70.390000,180.000000,top
R37,120,R_0805_2012Metric,142.040000,-70.390000,0.000000,top
R38,120,R_0805_2012Metric,173.485000,-70.390000,180.000000,top
R39,120,R_0805_2012Metric,160.460000,-70.390000,0.000000,top
R40,120,R_0805_2012Metric,97.245000,-48.585000,180.000000,top
R41,120,R_0805_2012Metric,84.220000,-48.585000,0.000000,top
R42,120,R_0805_2012Metric,105.736666,-48.610000,180.000000,top
R43,120,R_0805_2012Metric,110.078332,-48.610000,180.000000,top
R44,120,R_0805_2012Metric,122.886666,-48.610000,180.000000,top
R45,120,R_0805_2012Metric,127.228332,-48.610000,180.000000,top
R46,120,R_0805_2012Metric,113.824000,-48.610000,180.000000,top
R47,120,R_0805_2012Metric,101.395000,-48.610000,0.000000,top
R48,120,R_0805_2012Metric,131.570000,-48.610000,180.000000,top
R49,120,R_0805_2012Metric,119.158000,-48.610000,0.000000,top
R50,120,R_0805_2012Metric,73.830000,-133.320000,270.000000,top
R51,120,R_0805_2012Metric,80.800000,-134.100000,0.000000,top
R52,4.7k,R_0805_2012Metric,78.999286,-67.610000,0.000000,top
R53,4.7k,R_0805_2012Metric,78.999286,-74.970714,0.000000,top
R54,4.7k,R_0805_2012Metric,78.999286,-82.331428,0.000000,top
R55,4.7k,R_0805_2012Metric,78.999286,-89.692142,0.000000,top
R56,4.7k,R_0805_2012Metric,78.999286,-97.052856,0.000000,top
R57,4.7k,R_0805_2012Metric,78.999286,-104.413570,0.000000,top
R58,4.7k,R_0805_2012Metric,78.750000,-111.790000,0.000000,top
R59,4.7k,R_0805_2012Metric,78.999286,-119.135000,0.000000,top
R60,4.7k,R_0805_2012Metric,115.654800,-133.140000,90.000000,top
R61,4.7k,R_0805_2012Metric,123.015514,-133.140000,90.000000,top
R62,4.7k,R_0805_2012Metric,130.376228,-133.140000,90.000000,top
R63,4.7k,R_0805_2012Metric,137.736942,-133.140000,90.000000,top
R64,4.7k,R_0805_2012Metric,145.097656,-133.140000,90.000000,top
R65,4.7k,R_0805_2012Metric,152.458370,-133.140000,90.000000,top
R66,4.7k,R_0805_2012Metric,159.819084,-133.140000,90.000000,top
R67,4.7k,R_0805_2012Metric,167.179800,-133.140000,90.000000,top
R68,4.7k,R_0805_2012Metric,194.334800,-133.220000,90.000000,top
R69,4.7k,R_0805_2012Metric,201.695514,-133.220000,90.000000,top
R70,4.7k,R_0805_2012Metric,209.056228,-133.220000,90.000000,top
R71,4.7k,R_0805_2012Metric,216.416942,-133.220000,90.000000,top
R72,4.7k,R_0805_2012Metric,223.777656,-133.220000,90.000000,top
R73,4.7k,R_0805_2012Metric,231.138370,-133.220000,90.000000,top
R74,4.7k,R_0805_2012Metric,238.499084,-133.220000,90.000000,top
R75,4.7k,R_0805_2012Metric,245.859800,-133.220000,90.000000,top
R88,4.7k,R_0805_2012Metric,191.120000,-68.800000,180.000000,top
U1,74HC245D,SOIC-20W_7.5x12.8mm_P1.27mm,120.300000,-74.870000,90.000000,top
U2,AT24C256C,SOIC-8_3.9x4.9mm_P1.27mm,185.510000,-68.480000,270.000000,top
U3,AM26LS31CDR,SOIC-16_3.9x9.9mm_P1.27mm,149.910000,-78.590000,270.000000,top
U4,AM26LS31CDR,SOIC-16_3.9x9.9mm_P1.27mm,166.670000,-78.590000,270.000000,top
U5,AM26LS31CDR,SOIC-16_3.9x9.9mm_P1.27mm,90.485000,-56.935000,270.000000,top
U6,AM26LS31CDR,SOIC-16_3.9x9.9mm_P1.27mm,107.655000,-56.960000,270.000000,top
U7,AM26LS31CDR,SOIC-16_3.9x9.9mm_P1.27mm,124.610000,-56.960000,270.000000,top
U8,UA9638CD,SOIC-8_3.9x4.9mm_P1.27mm,97.490000,-124.870000,90.000000,top
U9,74HC245D,SOIC-20W_7.5x12.8mm_P1.27mm,124.764000,-92.574000,90.000000,top
U17,74HC245D,SOIC-20W_7.5x12.8mm_P1.27mm,222.160000,-91.290000,270.000000,top
